Clave de incidencia;ID de la incidencia;Estado;Creada;Actualizada
ESTCORE-66;11485;Backlog;24/jun/20 11:56 AM;28/jul/20 12:55 PM
ESTCORE-259;13641;Backlog;28/jul/20 8:36 AM;28/jul/20 8:36 AM
ESTCORE-255;13484;Backlog;27/jul/20 1:45 PM;27/jul/20 1:47 PM
CORE-1;13268;Por hacer;22/jul/20 6:42 PM;25/jul/20 4:40 PM
ESTCORE-52;11374;Selected For Development;23/jun/20 2:10 PM;22/jul/20 11:12 PM
ESTCORE-186;12772;Selected For Development;13/jul/20 12:59 PM;22/jul/20 3:53 PM
ESTCORE-185;12771;Selected For Development;13/jul/20 12:57 PM;22/jul/20 3:51 PM
ESTCORE-187;12773;Selected For Development;13/jul/20 1:02 PM;22/jul/20 3:50 PM
ESTCORE-252;13364;Backlog;24/jul/20 2:14 PM;29/jul/20 9:47 AM
ESTCORE-260;13697;Backlog;28/jul/20 12:55 PM;28/jul/20 12:55 PM
ESTCORE-251;13363;Backlog;24/jul/20 2:12 PM;24/jul/20 2:12 PM
ESTCORE-250;13362;Backlog;24/jul/20 2:11 PM;24/jul/20 2:11 PM
ESTCORE-249;13361;Backlog;24/jul/20 2:09 PM;24/jul/20 2:09 PM
ESTCORE-248;13360;Backlog;24/jul/20 2:07 PM;24/jul/20 2:07 PM
ESTCORE-247;13359;Backlog;24/jul/20 2:05 PM;24/jul/20 2:05 PM
ESTCORE-246;13358;Backlog;24/jul/20 2:04 PM;24/jul/20 2:04 PM
ESTCORE-245;13357;Backlog;24/jul/20 2:02 PM;24/jul/20 2:02 PM
ESTCORE-244;13356;Backlog;24/jul/20 2:01 PM;24/jul/20 2:01 PM
ESTCORE-243;13355;Backlog;24/jul/20 1:59 PM;24/jul/20 1:59 PM
ESTCORE-242;13354;Backlog;24/jul/20 1:58 PM;24/jul/20 1:58 PM
ESTCORE-241;13353;Backlog;24/jul/20 1:57 PM;24/jul/20 1:57 PM
ESTCORE-240;13352;Backlog;24/jul/20 1:55 PM;24/jul/20 1:55 PM
ESTCORE-162;12512;Selected For Development;09/jul/20 5:24 PM;21/jul/20 11:44 AM
ESTCORE-7;10673;Backlog;17/jun/20 2:40 PM;29/jul/20 12:02 PM
ESTCORE-51;11372;Backlog;23/jun/20 2:07 PM;29/jul/20 9:44 AM
ESTCORE-38;11010;Backlog;19/jun/20 12:01 PM;29/jul/20 8:03 AM
ESTCORE-12;10683;Backlog;17/jun/20 2:57 PM;29/jul/20 8:03 AM
ESTCORE-9;10679;Backlog;17/jun/20 2:43 PM;24/jul/20 10:03 AM
ESTCORE-29;11001;Backlog;19/jun/20 9:34 AM;23/jul/20 3:48 PM
ESTCORE-1;10634;Backlog;17/jun/20 9:39 AM;16/jul/20 5:04 PM
ESTCORE-2;10636;Backlog;17/jun/20 10:26 AM;16/jul/20 12:05 PM
ESTCORE-48;11366;Selected For Development;23/jun/20 1:32 PM;27/jul/20 11:03 AM
